% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.265	1	1	27	6	1	0	81	0	0	0
0.059	1	2	6	10	50	28	549	0	0	0
0.059	1	2	6	10	50	28	549	0	0	1
0.28	1	1	29	1	1	28	2196	0	0	0
0.06	1	9	7	1	39	28	549	0	0	0
0.281	1	1	29	2	1	28	2196	0	0	0
0.06	1	9	7	1	39	28	549	0	0	1
0.282	1	1	29	3	1	28	2196	0	0	0
0.283	1	1	29	4	1	28	2196	0	0	0
0.284	1	1	29	5	1	28	2196	0	0	0
0.061	1	11	7	2	58	28	549	0	0	0
0.061	1	11	7	2	58	28	549	0	0	1
0.285	1	1	29	6	1	28	2196	0	0	0
0.286	1	1	29	7	1	28	2196	0	0	0
0.287	1	1	29	8	1	28	2196	0	0	0
0.288	1	1	29	9	1	28	2196	0	0	0
0.062	1	10	7	3	63	0	19	0	0	0
0.289	1	1	29	10	1	28	2196	0	0	0
0.062	1	10	7	3	63	0	19	0	0	1
0.29	1	1	30	1	1	28	2196	0	0	0
0.291	1	1	30	2	1	28	2196	0	0	0
0.292	1	1	30	3	1	28	2196	0	0	0
0.063	1	11	7	4	58	28	549	0	0	0
0.063	1	11	7	4	58	28	549	0	0	1
0.293	1	1	30	4	1	28	2196	0	0	0
0.294	1	1	30	5	1	28	2196	0	0	0
0.064	1	10	7	5	63	0	19	0	0	0
0.295	1	1	30	6	1	28	2196	0	0	0
0.064	1	10	7	5	63	0	19	0	0	1
0.296	1	1	30	7	1	28	2196	0	0	0
0.297	1	1	30	8	1	28	2196	0	0	0
0.298	1	1	30	9	1	28	2196	0	0	0
0.065	1	11	7	6	58	28	549	0	0	0
0.065	1	11	7	6	58	28	549	0	0	1
0.299	1	1	30	10	1	28	2196	0	0	0
0.3	1	1	31	1	1	28	2196	0	0	0
0.066	1	2	7	7	50	28	549	0	0	0
0.066	1	2	7	7	50	28	549	0	0	1
0.301	1	1	31	2	1	28	2196	0	0	0
0.302	1	1	31	3	1	28	2196	0	0	0
0.067	1	10	7	8	63	28	549	0	0	0
0.067	1	10	7	8	63	28	549	0	0	1
0.303	1	1	31	4	1	28	2196	0	0	0
0.304	1	1	31	5	1	28	2196	0	0	0
0.305	1	1	31	6	1	28	2196	0	0	0
0.068	1	8	7	9	71	0	19	0	0	0
0.068	1	8	7	9	71	0	19	0	0	1
0.306	1	1	31	7	1	28	2196	0	0	0
0.307	1	1	31	8	1	28	2196	0	0	0
0.308	1	1	31	9	1	28	2196	0	0	0
0.069	1	10	7	10	63	28	549	0	0	0
0.069	1	10	7	10	63	28	549	0	0	1
0.309	1	1	31	10	1	28	2196	0	0	0
0.07	1	8	8	1	71	0	19	0	0	0
0.31	1	1	32	1	1	28	2196	0	0	0
0.07	1	8	8	1	71	0	19	0	0	1
0.311	1	1	32	2	1	28	2196	0	0	0
0.312	1	1	32	3	1	28	2196	0	0	0
0.313	1	1	32	4	1	28	2196	0	0	0
0.071	1	10	8	2	63	28	549	0	0	0
0.071	1	10	8	2	63	28	549	0	0	1
0.314	1	1	32	5	1	28	2196	0	0	0
0.072	1	14	8	3	1	28	549	0	0	0
0.315	1	1	32	6	1	28	2196	0	0	0
0.072	1	14	8	3	1	28	549	0	0	1
0.316	1	1	32	7	1	28	2196	0	0	0
0.317	1	1	32	8	1	28	2196	0	0	0
0.073	1	8	8	4	71	28	549	0	0	0
0.073	1	8	8	4	71	28	549	0	0	1
0.318	1	1	32	9	1	28	2196	0	0	0
0.319	1	1	32	10	1	28	2196	0	0	0
0.32	1	1	33	1	1	28	2196	0	0	0
0.074	1	4	8	5	78	0	19	0	0	0
0.074	1	4	8	5	78	0	19	0	0	1
0.321	1	1	33	2	1	28	2196	0	0	0
0.322	1	1	33	3	1	28	2196	0	0	0
0.323	1	1	33	4	1	28	2196	0	0	0
0.075	1	8	8	6	71	28	549	0	0	0
0.075	1	8	8	6	71	28	549	0	0	1
0.324	1	1	33	5	1	28	2196	0	0	0
0.325	1	1	33	6	1	28	2196	0	0	0
0.076	1	4	8	7	78	0	19	0	0	0
0.076	1	4	8	7	78	0	19	0	0	1
0.326	1	1	33	7	1	28	2196	0	0	0
0.327	1	1	33	8	1	28	2196	0	0	0
0.328	1	1	33	9	1	28	2196	0	0	0
0.077	1	8	8	8	71	28	549	0	0	0
0.077	1	8	8	8	71	28	549	0	0	1
0.329	1	1	33	10	1	28	2196	0	0	0
0.33	1	1	34	1	1	28	2196	0	0	0
0.078	1	11	8	9	58	28	549	0	0	0
0.078	1	11	8	9	58	28	549	0	0	1
0.331	1	1	34	2	1	28	2196	0	0	0
0.332	1	1	34	3	1	28	2196	0	0	0
0.333	1	1	34	4	1	28	2196	0	0	0
0.079	1	4	8	10	78	28	549	0	0	0
0.079	1	4	8	10	78	28	549	0	0	1
0.334	1	1	34	5	1	28	2196	0	0	0
0.335	1	1	34	6	1	28	2196	0	0	0
0.336	1	1	34	7	1	28	2196	0	0	0
0.08	1	12	9	1	82	0	19	0	0	0
0.08	1	12	9	1	82	0	19	0	0	1
0.337	1	1	34	8	1	28	2196	0	0	0
0.338	1	1	34	9	1	28	2196	0	0	0
0.339	1	1	34	10	1	28	2196	0	0	0
0.081	1	4	9	2	78	28	549	0	0	0
0.081	1	4	9	2	78	28	549	0	0	1
0.34	1	1	35	1	1	28	2196	0	0	0
0.341	1	1	35	2	1	28	2196	0	0	0
0.082	1	12	9	3	82	0	19	0	0	0
0.082	1	12	9	3	82	0	19	0	0	1
0.342	1	1	35	3	1	28	2196	0	0	0
0.343	1	1	35	4	1	28	2196	0	0	0
0.344	1	1	35	5	1	28	2196	0	0	0
0.345	1	1	35	6	1	28	2196	0	0	0
0.083	1	4	9	4	78	28	549	0	0	0
0.083	1	4	9	4	78	28	549	0	0	1
0.346	1	1	35	7	1	28	2196	0	0	0
0.084	1	15	9	5	12	28	549	0	0	0
0.347	1	1	35	8	1	28	2196	0	0	0
0.084	1	15	9	5	12	28	549	0	0	1
0.348	1	1	35	9	1	28	2196	0	0	0
0.349	1	1	35	10	1	28	2196	0	0	0
0.085	1	12	9	6	82	28	549	0	0	0
0.35	1	1	36	1	1	28	2196	0	0	0
0.085	1	12	9	6	82	28	549	0	0	1
0.351	1	1	36	2	1	28	2196	0	0	0
0.352	1	1	36	3	1	28	2196	0	0	0
0.086	1	1	9	7	87	0	19	0	0	0
0.086	1	1	9	7	87	0	19	0	0	1
0.353	1	1	36	4	1	28	2196	0	0	0
0.354	1	1	36	5	1	28	2196	0	0	0
0.355	1	1	36	6	1	28	2196	0	0	0
0.087	1	12	9	8	82	28	549	0	0	0
0.356	1	1	36	7	1	28	2196	0	0	0
0.087	1	12	9	8	82	28	549	0	0	1
0.357	1	1	36	8	1	28	2196	0	0	0
0.088	1	1	9	9	87	0	19	0	0	0
0.358	1	1	36	9	1	28	2196	0	0	0
0.088	1	1	9	9	87	0	19	0	0	1
0.359	1	1	36	10	1	28	2196	0	0	0
0.36	1	1	37	1	1	28	2196	0	0	0
0.361	1	1	37	2	1	28	2196	0	0	0
0.089	1	12	9	10	82	28	549	0	0	0
0.089	1	12	9	10	82	28	549	0	0	1
0.362	1	1	37	3	1	28	2196	0	0	0
0.363	1	1	37	4	1	28	2196	0	0	0
0.09	1	10	10	1	63	28	549	0	0	0
0.09	1	10	10	1	63	28	549	0	0	1
0.364	1	1	37	5	1	28	2196	0	0	0
0.365	1	1	37	6	1	28	2196	0	0	0
0.366	1	1	37	7	1	28	2196	0	0	0
0.091	1	1	10	2	87	28	549	0	0	0
0.091	1	1	10	2	87	28	549	0	0	1
0.367	1	1	37	8	1	28	2196	0	0	0
0.368	1	1	37	9	1	28	2196	0	0	0
0.369	1	1	37	10	1	28	2196	0	0	0
0.092	1	6	10	3	91	0	19	0	0	0
0.092	1	6	10	3	91	0	19	0	0	1
0.37	1	1	38	1	1	28	2196	0	0	0
0.371	1	1	38	2	1	28	2196	0	0	0
0.372	1	1	38	3	1	28	2196	0	0	0
0.093	1	1	10	4	87	28	549	0	0	0
0.373	1	1	38	4	1	28	2196	0	0	0
0.093	1	1	10	4	87	28	549	0	0	1
0.374	1	1	38	5	1	28	2196	0	0	0
0.375	1	1	38	6	1	28	2196	0	0	0
0.094	1	6	10	5	91	0	19	0	0	0
0.094	1	6	10	5	91	0	19	0	0	1
0.376	1	1	38	7	1	28	2196	0	0	0
0.377	1	1	38	8	1	28	2196	0	0	0
0.378	1	1	38	9	1	28	2196	0	0	0
0.095	1	1	10	6	87	28	549	0	0	0
0.379	1	1	38	10	1	28	2196	0	0	0
0.095	1	1	10	6	87	28	549	0	0	1
0.38	1	1	39	1	1	28	2196	0	0	0
0.096	1	5	10	7	20	28	549	0	0	0
0.381	1	1	39	2	1	28	2196	0	0	0
0.096	1	5	10	7	20	28	549	0	0	1
0.382	1	1	39	3	1	28	2196	0	0	0
0.383	1	1	39	4	1	28	2196	0	0	0
0.384	1	1	39	5	1	28	2196	0	0	0
0.097	1	6	10	8	91	28	549	0	0	0
0.097	1	6	10	8	91	28	549	0	0	1
0.098	1	13	10	9	94	0	19	0	0	0
0.098	1	13	10	9	94	0	19	0	0	1
0.385	1	1	39	6	1	28	2196	0	0	0
0.386	1	1	39	7	1	28	2196	0	0	0
0.387	1	1	39	8	1	28	2196	0	0	0
0.099	1	6	10	10	91	28	549	0	0	0
0.099	1	6	10	10	91	28	549	0	0	1
0.388	1	1	39	9	1	28	2196	0	0	0
0.389	1	1	39	10	1	28	2196	0	0	0
0.1	1	13	11	1	94	0	19	0	0	0
0.1	1	13	11	1	94	0	19	0	0	1
0.39	1	1	40	1	1	28	2196	0	0	0
0.391	1	1	40	2	1	28	2196	0	0	0
0.392	1	1	40	3	1	28	2196	0	0	0
0.101	1	6	11	2	91	28	549	0	0	0
0.393	1	1	40	4	1	28	2196	0	0	0
0.101	1	6	11	2	91	28	549	0	0	1
0.394	1	1	40	5	1	28	2196	0	0	0
0.102	1	8	11	3	71	28	549	0	0	0
0.395	1	1	40	6	1	28	2196	0	0	0
0.102	1	8	11	3	71	28	549	0	0	1
0.396	1	1	40	7	1	28	2196	0	0	0
0.397	1	1	40	8	1	28	2196	0	0	0
0.398	1	1	40	9	1	28	2196	0	0	0
0.103	1	13	11	4	94	28	549	0	0	0
0.103	1	13	11	4	94	28	549	0	0	1
0.399	1	1	40	10	1	28	2196	0	0	0
0.4	1	1	41	1	1	28	2196	0	0	0
0.401	1	1	41	2	1	28	2196	0	0	0
0.104	1	3	11	5	96	0	19	0	0	0
0.402	1	1	41	3	1	28	2196	0	0	0
0.104	1	3	11	5	96	0	19	0	0	1
0.403	1	1	41	4	1	28	2196	0	0	0
0.404	1	1	41	5	1	28	2196	0	0	0
0.405	1	1	41	6	1	28	2196	0	0	0
0.105	1	13	11	6	94	28	549	0	0	0
