% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
267	1	1	1	0	0	81	0	1	0
59	1	2	50	0	28	549	0	1	0
59	2	2	50	0	28	549	0	1	1
60	1	11	58	0	0	19	0	1	0
60	2	11	58	0	0	19	0	1	1
282	1	1	1	0	28	2196	0	1	0
283	1	1	1	0	28	2196	0	1	0
284	1	1	1	0	28	2196	0	1	0
61	1	2	50	0	28	549	0	1	0
61	2	2	50	0	28	549	0	1	1
285	1	1	1	0	28	2196	0	1	0
286	1	1	1	0	28	2196	0	1	0
287	1	1	1	0	28	2196	0	1	0
288	1	1	1	0	28	2196	0	1	0
62	1	9	39	0	28	549	0	1	0
289	1	1	1	0	28	2196	0	1	0
62	2	9	39	0	28	549	0	1	1
290	1	1	1	0	28	2196	0	1	0
291	1	1	1	0	28	2196	0	1	0
292	1	1	1	0	28	2196	0	1	0
63	1	11	58	0	28	549	0	1	0
63	2	11	58	0	28	549	0	1	1
293	1	1	1	0	28	2196	0	1	0
294	1	1	1	0	28	2196	0	1	0
64	1	10	63	0	0	19	0	1	0
295	1	1	1	0	28	2196	0	1	0
64	2	10	63	0	0	19	0	1	1
296	1	1	1	0	28	2196	0	1	0
297	1	1	1	0	28	2196	0	1	0
65	1	11	58	0	28	549	0	1	0
298	1	1	1	0	28	2196	0	1	0
65	2	11	58	0	28	549	0	1	1
299	1	1	1	0	28	2196	0	1	0
66	1	10	63	0	0	19	0	1	0
300	1	1	1	0	28	2196	0	1	0
66	2	10	63	0	0	19	0	1	1
301	1	1	1	0	28	2196	0	1	0
302	1	1	1	0	28	2196	0	1	0
67	1	11	58	0	28	549	0	1	0
67	2	11	58	0	28	549	0	1	1
303	1	1	1	0	28	2196	0	1	0
304	1	1	1	0	28	2196	0	1	0
305	1	1	1	0	28	2196	0	1	0
68	1	2	50	0	28	549	0	1	0
68	2	2	50	0	28	549	0	1	1
306	1	1	1	0	28	2196	0	1	0
307	1	1	1	0	28	2196	0	1	0
69	1	10	63	0	28	549	0	1	0
308	1	1	1	0	28	2196	0	1	0
69	2	10	63	0	28	549	0	1	1
309	1	1	1	0	28	2196	0	1	0
70	1	8	71	0	0	19	0	1	0
310	1	1	1	0	28	2196	0	1	0
70	2	8	71	0	0	19	0	1	1
311	1	1	1	0	28	2196	0	1	0
312	1	1	1	0	28	2196	0	1	0
71	1	10	63	0	28	549	0	1	0
313	1	1	1	0	28	2196	0	1	0
71	2	10	63	0	28	549	0	1	1
314	1	1	1	0	28	2196	0	1	0
72	1	8	71	0	0	19	0	1	0
315	1	1	1	0	28	2196	0	1	0
72	2	8	71	0	0	19	0	1	1
316	1	1	1	0	28	2196	0	1	0
317	1	1	1	0	28	2196	0	1	0
73	1	10	63	0	28	549	0	1	0
73	2	10	63	0	28	549	0	1	1
318	1	1	1	0	28	2196	0	1	0
319	1	1	1	0	28	2196	0	1	0
320	1	1	1	0	28	2196	0	1	0
74	1	14	1	0	28	549	0	1	0
74	2	14	1	0	28	549	0	1	1
321	1	1	1	0	28	2196	0	1	0
322	1	1	1	0	28	2196	0	1	0
323	1	1	1	0	28	2196	0	1	0
75	1	8	71	0	28	549	0	1	0
75	2	8	71	0	28	549	0	1	1
324	1	1	1	0	28	2196	0	1	0
325	1	1	1	0	28	2196	0	1	0
76	1	4	78	0	0	19	0	1	0
76	2	4	78	0	0	19	0	1	1
326	1	1	1	0	28	2196	0	1	0
327	1	1	1	0	28	2196	0	1	0
77	1	8	71	0	28	549	0	1	0
328	1	1	1	0	28	2196	0	1	0
77	2	8	71	0	28	549	0	1	1
329	1	1	1	0	28	2196	0	1	0
330	1	1	1	0	28	2196	0	1	0
78	1	4	78	0	0	19	0	1	0
78	2	4	78	0	0	19	0	1	1
331	1	1	1	0	28	2196	0	1	0
332	1	1	1	0	28	2196	0	1	0
333	1	1	1	0	28	2196	0	1	0
79	1	8	71	0	28	549	0	1	0
79	2	8	71	0	28	549	0	1	1
334	1	1	1	0	28	2196	0	1	0
335	1	1	1	0	28	2196	0	1	0
336	1	1	1	0	28	2196	0	1	0
80	1	11	58	0	28	549	0	1	0
80	2	11	58	0	28	549	0	1	1
337	1	1	1	0	28	2196	0	1	0
338	1	1	1	0	28	2196	0	1	0
339	1	1	1	0	28	2196	0	1	0
81	1	4	78	0	28	549	0	1	0
81	2	4	78	0	28	549	0	1	1
340	1	1	1	0	28	2196	0	1	0
341	1	1	1	0	28	2196	0	1	0
82	1	12	82	0	0	19	0	1	0
82	2	12	82	0	0	19	0	1	1
342	1	1	1	0	28	2196	0	1	0
343	1	1	1	0	28	2196	0	1	0
344	1	1	1	0	28	2196	0	1	0
83	1	4	78	0	28	549	0	1	0
345	1	1	1	0	28	2196	0	1	0
83	2	4	78	0	28	549	0	1	1
346	1	1	1	0	28	2196	0	1	0
84	1	12	82	0	0	19	0	1	0
347	1	1	1	0	28	2196	0	1	0
84	2	12	82	0	0	19	0	1	1
348	1	1	1	0	28	2196	0	1	0
349	1	1	1	0	28	2196	0	1	0
85	1	4	78	0	28	549	0	1	0
85	2	4	78	0	28	549	0	1	1
350	1	1	1	0	28	2196	0	1	0
351	1	1	1	0	28	2196	0	1	0
352	1	1	1	0	28	2196	0	1	0
86	1	15	12	0	28	549	0	1	0
86	2	15	12	0	28	549	0	1	1
353	1	1	1	0	28	2196	0	1	0
354	1	1	1	0	28	2196	0	1	0
355	1	1	1	0	28	2196	0	1	0
87	1	12	82	0	28	549	0	1	0
87	2	12	82	0	28	549	0	1	1
356	1	1	1	0	28	2196	0	1	0
357	1	1	1	0	28	2196	0	1	0
88	1	1	87	0	0	19	0	1	0
358	1	1	1	0	28	2196	0	1	0
88	2	1	87	0	0	19	0	1	1
359	1	1	1	0	28	2196	0	1	0
360	1	1	1	0	28	2196	0	1	0
89	1	12	82	0	28	549	0	1	0
361	1	1	1	0	28	2196	0	1	0
89	2	12	82	0	28	549	0	1	1
362	1	1	1	0	28	2196	0	1	0
363	1	1	1	0	28	2196	0	1	0
90	1	1	87	0	0	19	0	1	0
90	2	1	87	0	0	19	0	1	1
364	1	1	1	0	28	2196	0	1	0
365	1	1	1	0	28	2196	0	1	0
366	1	1	1	0	28	2196	0	1	0
91	1	12	82	0	28	549	0	1	0
91	2	12	82	0	28	549	0	1	1
367	1	1	1	0	28	2196	0	1	0
368	1	1	1	0	28	2196	0	1	0
369	1	1	1	0	28	2196	0	1	0
92	1	10	63	0	28	549	0	1	0
92	2	10	63	0	28	549	0	1	1
370	1	1	1	0	28	2196	0	1	0
371	1	1	1	0	28	2196	0	1	0
372	1	1	1	0	28	2196	0	1	0
93	1	1	87	0	28	549	0	1	0
373	1	1	1	0	28	2196	0	1	0
93	2	1	87	0	28	549	0	1	1
374	1	1	1	0	28	2196	0	1	0
375	1	1	1	0	28	2196	0	1	0
94	1	6	91	0	0	19	0	1	0
94	2	6	91	0	0	19	0	1	1
376	1	1	1	0	28	2196	0	1	0
377	1	1	1	0	28	2196	0	1	0
378	1	1	1	0	28	2196	0	1	0
95	1	1	87	0	28	549	0	1	0
95	2	1	87	0	28	549	0	1	1
379	1	1	1	0	28	2196	0	1	0
380	1	1	1	0	28	2196	0	1	0
96	1	6	91	0	0	19	0	1	0
96	2	6	91	0	0	19	0	1	1
381	1	1	1	0	28	2196	0	1	0
382	1	1	1	0	28	2196	0	1	0
383	1	1	1	0	28	2196	0	1	0
384	1	1	1	0	28	2196	0	1	0
97	1	1	87	0	28	549	0	1	0
97	2	1	87	0	28	549	0	1	1
98	1	5	20	0	28	549	0	1	0
98	2	5	20	0	28	549	0	1	1
385	1	1	1	0	28	2196	0	1	0
386	1	1	1	0	28	2196	0	1	0
387	1	1	1	0	28	2196	0	1	0
99	1	6	91	0	28	549	0	1	0
99	2	6	91	0	28	549	0	1	1
388	1	1	1	0	28	2196	0	1	0
389	1	1	1	0	28	2196	0	1	0
100	1	13	94	0	0	19	0	1	0
100	2	13	94	0	0	19	0	1	1
390	1	1	1	0	28	2196	0	1	0
391	1	1	1	0	28	2196	0	1	0
392	1	1	1	0	28	2196	0	1	0
101	1	6	91	0	28	549	0	1	0
393	1	1	1	0	28	2196	0	1	0
101	2	6	91	0	28	549	0	1	1
394	1	1	1	0	28	2196	0	1	0
102	1	13	94	0	0	19	0	1	0
395	1	1	1	0	28	2196	0	1	0
102	2	13	94	0	0	19	0	1	1
396	1	1	1	0	28	2196	0	1	0
397	1	1	1	0	28	2196	0	1	0
398	1	1	1	0	28	2196	0	1	0
103	1	6	91	0	28	549	0	1	0
103	2	6	91	0	28	549	0	1	1
399	1	1	1	0	28	2196	0	1	0
400	1	1	1	0	28	2196	0	1	0
401	1	1	1	0	28	2196	0	1	0
104	1	8	71	0	28	549	0	1	0
104	2	8	71	0	28	549	0	1	1
402	1	1	1	0	28	2196	0	1	0
403	1	1	1	0	28	2196	0	1	0
404	1	1	1	0	28	2196	0	1	0
405	1	1	1	0	28	2196	0	1	0
406	1	1	1	0	28	2196	0	1	0
105	1	13	94	0	28	549	0	1	0
407	1	1	1	0	28	2196	0	1	0
105	2	13	94	0	28	549	0	1	1
106	1	3	96	0	0	19	0	1	0
106	2	3	96	0	0	19	0	1	1
107	1	13	94	0	28	549	0	1	0
107	2	13	94	0	28	549	0	1	1
108	1	3	96	0	0	19	0	1	0
108	2	3	96	0	0	19	0	1	1
109	1	13	94	0	28	549	0	1	0
109	2	13	94	0	28	549	0	1	1
110	1	7	29	0	28	549	0	1	0
110	2	7	29	0	28	549	0	1	1
111	1	3	96	0	28	549	0	1	0
111	2	3	96	0	28	549	0	1	1
112	1	3	96	0	28	549	0	1	0
112	2	3	96	0	28	549	0	1	1
113	1	3	96	0	28	549	0	1	0
113	2	3	96	0	28	549	0	1	1
114	1	4	78	0	28	549	0	1	0
114	2	4	78	0	28	549	0	1	1
115	1	9	39	0	28	549	0	1	0
115	2	9	39	0	28	549	0	1	1
116	1	12	82	0	28	549	0	1	0
116	2	12	82	0	28	549	0	1	1
117	1	2	50	0	28	549	0	1	0
117	2	2	50	0	28	549	0	1	1
118	1	14	1	0	28	549	0	1	0
118	2	14	1	0	28	549	0	1	1
119	1	1	87	0	28	549	0	1	0
119	2	1	87	0	28	549	0	1	1
120	1	11	58	0	28	549	0	1	0
120	2	11	58	0	28	549	0	1	1
121	1	15	12	0	28	549	0	1	0
121	2	15	12	0	28	549	0	1	1
122	1	6	91	0	28	549	0	1	0
122	2	6	91	0	28	549	0	1	1
123	1	10	63	0	28	549	0	1	0
123	2	10	63	0	28	549	0	1	1
124	1	5	20	0	28	549	0	1	0
124	2	5	20	0	28	549	0	1	1
125	1	13	94	0	28	549	0	1	0
125	2	13	94	0	28	549	0	1	1
126	1	3	96	0	28	549	0	1	0
126	2	3	96	0	28	549	0	1	1
127	1	8	71	0	28	549	0	1	0
127	2	8	71	0	28	549	0	1	1
128	1	7	29	0	28	549	0	1	0
128	2	7	29	0	28	549	0	1	1
129	1	4	78	0	28	549	0	1	0
129	2	4	78	0	28	549	0	1	1
130	1	9	39	0	28	549	0	1	0
130	2	9	39	0	28	549	0	1	1
131	1	12	82	0	28	549	0	1	0
131	2	12	82	0	28	549	0	1	1
132	1	2	50	0	28	549	0	1	0
132	2	2	50	0	28	549	0	1	1
133	1	14	1	0	28	549	0	1	0
133	2	14	1	0	28	549	0	1	1
134	1	1	87	0	28	549	0	1	0
134	2	1	87	0	28	549	0	1	1
135	1	11	58	0	28	549	0	1	0
135	2	11	58	0	28	549	0	1	1
136	1	15	12	0	28	549	0	1	0
136	2	15	12	0	28	549	0	1	1
137	1	6	91	0	28	549	0	1	0
137	2	6	91	0	28	549	0	1	1
138	1	10	63	0	28	549	0	1	0
138	2	10	63	0	28	549	0	1	1
139	1	5	20	0	28	549	0	1	0
139	2	5	20	0	28	549	0	1	1
140	1	13	94	0	28	549	0	1	0
140	2	13	94	0	28	549	0	1	1
141	1	3	96	0	28	549	0	1	0
141	2	3	96	0	28	549	0	1	1
142	1	8	71	0	28	549	0	1	0
142	2	8	71	0	28	549	0	1	1
143	1	7	29	0	28	549	0	1	0
143	2	7	29	0	28	549	0	1	1
144	1	4	78	0	28	549	0	1	0
144	2	4	78	0	28	549	0	1	1
145	1	9	39	0	28	549	0	1	0
145	2	9	39	0	28	549	0	1	1
146	1	12	82	0	28	549	0	1	0
146	2	12	82	0	28	549	0	1	1
147	1	2	50	0	28	549	0	1	0
147	2	2	50	0	28	549	0	1	1
148	1	14	1	0	28	549	0	1	0
148	2	14	1	0	28	549	0	1	1
149	1	1	87	0	28	549	0	1	0
149	2	1	87	0	28	549	0	1	1
150	1	11	58	0	28	549	0	1	0
150	2	11	58	0	28	549	0	1	1
151	1	15	12	0	28	549	0	1	0
151	2	15	12	0	28	549	0	1	1
152	1	6	91	0	28	549	0	1	0
152	2	6	91	0	28	549	0	1	1
153	1	10	63	0	28	549	0	1	0
153	2	10	63	0	28	549	0	1	1
154	1	5	20	0	28	549	0	1	0
154	2	5	20	0	28	549	0	1	1
155	1	13	94	0	28	549	0	1	0
155	2	13	94	0	28	549	0	1	1
156	1	3	96	0	28	549	0	1	0
156	2	3	96	0	28	549	0	1	1
157	1	8	71	0	28	549	0	1	0
157	2	8	71	0	28	549	0	1	1
158	1	7	29	0	28	549	0	1	0
158	2	7	29	0	28	549	0	1	1
159	1	4	78	0	28	549	0	1	0
159	2	4	78	0	28	549	0	1	1
160	1	9	39	0	28	549	0	1	0
160	2	9	39	0	28	549	0	1	1
161	1	12	82	0	28	549	0	1	0
161	2	12	82	0	28	549	0	1	1
162	1	2	50	0	28	549	0	1	0
162	2	2	50	0	28	549	0	1	1
163	1	14	1	0	28	549	0	1	0
163	2	14	1	0	28	549	0	1	1
164	1	1	87	0	28	549	0	1	0
164	2	1	87	0	28	549	0	1	1
165	1	11	58	0	28	549	0	1	0
165	2	11	58	0	28	549	0	1	1
166	1	15	12	0	28	549	0	1	0
166	2	15	12	0	28	549	0	1	1
167	1	6	91	0	28	549	0	1	0
167	2	6	91	0	28	549	0	1	1
168	1	10	63	0	28	549	0	1	0
168	2	10	63	0	28	549	0	1	1
169	1	5	20	0	28	549	0	1	0
169	2	5	20	0	28	549	0	1	1
